NAME, STREET, CITY, STATE, ZIP, LATITUDE, LONGITUDE, DISTRICT, REPRESENTATIVE, SENATOR 1, SENATOR 2 
ACADEMY HOMES I, 1592 COLUMBUS AVENUE, Boston - Roxbury, MA, 02119, 42.321553, -71.098330, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
ACADEMY HOMES II, 2918 Washington Street, Boston - Roxbury, MA, 02119, 42.319276, -71.094860, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
ACADEMY KNOLL, 22 BROAD STREET, Marlborough, MA, 01752, 42.341322, -71.562125, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
ADAMS TEMPLETON APTS, 445 ADAMS STREET, Boston - Dorchester, MA, 02122, 42.294308, -71.056942, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
ALGONQUIN HEIGHTS, 1 ALGONQUIN TERRACE, Plymouth, MA, 02360, 41.952452, -70.686501, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
ALLEN PARK APTS. I, 251 ALLEN PARK RD, Springfield, MA, 01118, 42.090206, -72.506418, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
ALLEN PARK APTS. II, 251 ALLEN PARK RD, Springfield, MA, 01118, 42.090206, -72.506418, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
ANDERSON PARK, 250 CAMBRIDGE ST, Boston - Beacon Hill, MA, 02114, 42.360888, -71.067475, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
ARLINGTON PARK, 355 PARK STREET, Lawrence, MA, 01841, 42.716395, -71.176701, MA-5, Nicola Tsongas (D), Edward Kennedy (D), John Kerry (D) 
ARSENAL APTS, 465 ARSENAL ST, Watertown, MA, 02472, 42.362927, -71.158819, MA-7, Edward Markey (D), Edward Kennedy (D), John Kerry (D) 
