NAME, STREET, CITY, STATE, ZIP, LATITUDE, LONGITUDE, DISTRICT, REPRESENTATIVE, SENATOR 1, SENATOR 2 
ASHLAND COMMONS, 101 PRESIDENTS ROW, Ashland, MA, 01721, 42.253856, -71.467093, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
B F FAULKNER TOWER, 25 HIGHLAND AVE, Somerville, MA, 02143, 42.385273, -71.093575, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BACK OF THE HILL, 100 S HUNTINGTON AVE, Boston - Jamaica Plain, MA, 02130, 42.329306, -71.110420, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BAY MEADOWS, 100 BAY MEADOW RD, Springfield, MA, 01109, 42.133979, -72.540731, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
BEACHMONT APTS, 154 BRADSTREET AVE, Revere, MA, 02151, 42.396033, -70.986880, MA-7, Edward Markey (D), Edward Kennedy (D), John Kerry (D) 
BEACON HOUSE, 15 MYRTLE ST, Boston - Beacon Hill, MA, 02114, 42.359370, -71.065087, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BEDFORD TOWERS, 231 MIDDLE STREET, New Bedford, MA, 02740, 41.636496, -70.931335, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
BELLINGHAM SQ APTS, 28 WASHINGTON AVENUE, Chelsea, MA, 02150, 42.393771, -71.033958, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BERGEN CIRCLE, 15 GIRARD AVENUE, Springfield, MA, 01109, 42.117130, -72.565649, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
BET SHALOM I, 475 CHANDLER STREET, Worcester, MA, 01602, 42.267576, -71.838798, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
BINNALL HOUSE, 125 CONNORS ST, Gardner, MA, 01440, 42.573594, -71.996689, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
BIXBY-BROCKTON APARTMENTS, 103 MAIN STREET, Brockton, MA, 02301, 42.083827, -71.019842, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
BIXBY-BROCKTON APARTMENTS, 103 MAIN STREET, Brockton, MA, 02301, 42.083827, -71.019842, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
BLACKSTONE, 33 BLOSSOM STREET, Boston - West End, MA, 02114, 42.362578, -71.066457, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BLAKE ESTATES, 1344 HYDE PARK AVE, Boston - Hyde Park, MA, 02136, 42.252004, -71.125045, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
BLAKE ESTATES II, 1344 HYDE PARK AVE, Boston - Hyde Park, MA, 02136, 42.252004, -71.125045, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
BLUE ELM UNITED ESTATES, 260 SEAVER STREET, Boston - Dorchester, MA, 02121, 42.306221, -71.086524, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BLUE ELM UNITED ESTATES, 260 SEAVER STREET, Boston - Dorchester, MA, 02121, 42.306221, -71.086524, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BORDEN ST HSG, 111 BORDEN ST, Fall River, MA, 02721, 41.698992, -71.154285, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
BOWDOIN APARTMENTS, 18-2 BOWDOIN STREET, Malden, MA, 02148, 42.428174, -71.051627, MA-7, Edward Markey (D), Edward Kennedy (D), John Kerry (D) 
BRANDY HILL, 12 STATE STREET, Wareham, MA, 02538, 41.794588, -70.635297, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
BRIDLE PATH APTS, 164 BITTERSWEET LANE, Randolph, MA, 02368, 42.161689, -71.053375, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
BRISTON ARMS, 237 GARDEN STREET, Cambridge, MA, 02138, 42.386458, -71.134618, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BROADWAY GLEN, 855 BROADWAY, Chelsea, MA, 02150, 42.398339, -71.023701, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BROCKTON COMMONS, 55 CITY HALL PLAZA, Brockton, MA, 02301, 42.081750, -71.018730, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
BURROUGHS BLDG, 11 SCHOOL ST, Chelsea, MA, 02150, 42.388774, -71.039875, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CAMFIELD GARDENS, 85 LENOX ST, Boston - Roxbury, MA, 02118, 42.336655, -71.081118, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CANTERBURY TOWER, 6 WACHUSETT STREET, Worcester, MA, 01609, 42.268718, -71.803745, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
CANTON VILLAGE, 15 WILL DRIVE, Canton, MA, 02021, 42.147011, -71.120498, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
CAPITOL SQUARE, 379 NORTH STREET, Pittsfield, MA, 01201, 42.454022, -73.252434, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
CASA MARIA, 130 ENDICOTT ST, Boston - North End, MA, 02113, 42.364784, -71.057347, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CASAS BORINQUEN, 328 SHAWMUT, Boston - South End, MA, 02118, 42.341880, -71.071018, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CAST II, 49 COLUMBIA ST, Cambridge, MA, 02139, 42.364756, -71.099401, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CASTLE SQUARE, 484 TREMONT ST, Boston - South End, MA, 02116, 42.345577, -71.069673, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CASTLE SQUARE, 484 TREMONT ST, Boston - South End, MA, 02116, 42.345577, -71.069673, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CEDAR GLEN, 2 ELDERBERRY LANE, Reading, MA, 01867, 42.557545, -71.105888, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
CEFALO MEM COMPLEX, 245 W WYOMING AVE, Melrose, MA, 02176, 42.454879, -71.078950, MA-7, Edward Markey (D), Edward Kennedy (D), John Kerry (D) 
CENTRAL ANNEX, 99 2ND ST, Pittsfield, MA, 01201, 42.450774, -73.248090, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
CHARLES NEWTOWN COOP, 10 OLD IRONSIDES WAY, Boston - Charlestown, MA, 02129, 42.379280, -71.056965, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CHATHAM WEST II, 202 CHATHAM WEST DR, Brockton, MA, 02301, 42.102558, -71.052865, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
CHELSEA SQUARE, 272 BROADWAY, Chelsea, MA, 02150, 42.390921, -71.037419, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CHELSEA VILLAGE, 5 ADMIRALS WAY, Chelsea, MA, 02150, 42.389901, -71.045428, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CHESTNUT GARDENS APTS, 301 ESSEX ST, Lynn, MA, 01902, 42.470590, -70.938663, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
CHESTNUT GLEN, 585 CHESTNUT ST, Abington, MA, 02351, 42.124821, -70.997215, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
CITY SQUARE ELDERLY HSNG, 42 PARK STREET, Boston - Charlestown, MA, 02129, 42.373346, -71.060718, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CLARK HOUSE, 22 LESSEY ST, Amherst, MA, 01002, 42.377165, -72.514150, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
COLLINS NONPROFIT ADMIRAL, 150 CAPTAINS ROW, Chelsea, MA, 02150, 42.389993, -71.044654, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CONCORD ST. ELDER HOUSING, 1640 WASHINGTON ST., Boston - South End, MA, 02118, 42.337638, -71.074915, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
COTTAGE-BROOK, 622 DUDLEY ST, Boston - Dorchester, MA, 02125, 42.320095, -71.070917, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
COTTON MILL, 17 DOUGLAS ROAD, Northbridge, MA, 01588, 42.109995, -71.664959, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
COUNCIL TOWER, 2875 WASHINGTON ST, Boston - Roxbury, MA, 02119, 42.320070, -71.094040, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
COVENANT HOUSE I &amp; II, 30 WASHINGTON ST, Boston - Brighton, MA, 02135, 42.342754, -71.142086, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
COVENANT HOUSE I &amp; II, 30 WASHINGTON ST, Boston - Brighton, MA, 02135, 42.342754, -71.142086, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
COX BUILDING, 1 JOHN ELIOT SQ, Boston - Roxbury, MA, 02119, 42.329376, -71.089696, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CROMWELL COURT, 68 BARNSTABLE ROAD, Barnstable, MA, 02601, 41.665499, -70.287246, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
CUSHING RESIDENCE INC., 1 ELMWOOD FARM DR, Hanover, MA, 02339, 42.118501, -70.822220, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
DAVIS COMMONS, 165 CARL AVE, Brockton, MA, 02302, 42.060288, -70.997789, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
DAVIS COMMONS, 165 CARL AVE, Brockton, MA, 02302, 42.060288, -70.997789, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
DIMOCK-BRAGDON APT, 1841 COLUMBUS, Boston - Roxbury, MA, 02119, 42.319476, -71.098611, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
DOM POLSKI, 136 Cabot St, Chicopee, MA, 01013, 42.145395, -72.608829, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
DORCHESTER HSG, 10 ELLET STREET, Boston - Dorchester, MA, 02122, 42.304213, -71.059395, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
EBENEZER HOMES, 160 W SPRINGFIELD ST, Boston - South End, MA, 02118, 42.339139, -71.079167, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
EDGEWATER APTS, 101 LOWELL ST, Springfield, MA, 01107, 42.112035, -72.612320, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
EDISON GREEN, 915 DORCHESTER AVE, Boston - Dorchester, MA, 02125, 42.319325, -71.056746, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
EDMANDS HOUSE, 15 EDMANDS ROAD, Framingham, MA, 01701, 42.328842, -71.437636, MA-7, Edward Markey (D), Edward Kennedy (D), John Kerry (D) 
ESSEX TOWERS, 18 FRANKLIN STREET, Lawrence, MA, 01840, 42.705510, -71.166720, MA-5, Nicola Tsongas (D), Edward Kennedy (D), John Kerry (D) 
EXCHANGE BLDG, 227 BROADWAY, Chelsea, MA, 02150, 42.390240, -71.038220, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
FABENS BLDG, 312 UNION ST, Lynn, MA, 01901, 42.464357, -70.943320, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
FAIRHAVEN VLGE, 330 MAIN ST, Fairhaven, MA, 02719, 41.655903, -70.908611, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
FAIRWEATHER APARTMENTS, 40R HIGHLAND AVE, Salem, MA, 01970, 42.513610, -70.907009, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
FAIRWEATHER APARTMENTS, 40R HIGHLAND AVE, Salem, MA, 01970, 42.513610, -70.907009, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
FALLS VIEW APTS, 132 E MAIN ST, Chicopee, MA, 01020, 42.158496, -72.581066, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
FARNSWORTH HOUSE, 90 SOUTH ST, Boston - Jamaica Plain, MA, 02130, 42.306748, -71.115079, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
FIELDSTONE APARTMENTS, 907 BLUE HILL AVE., Boston - Dorchester, MA, 02124, 42.293359, -71.088509, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
FITCHBURG GREEN, 350 WATER STREET, Fitchburg, MA, 01420, 42.575909, -71.790687, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
FRAMINGHAM GREEN, 136 MAYNARD RD, Framingham, MA, 01701, 42.300975, -71.443366, MA-7, Edward Markey (D), Edward Kennedy (D), John Kerry (D) 
FRANKLIN HIGHLANDS, 278 HUMBOLDT AVE., Boston - N Dorchester, MA, 02121, 42.310323, -71.091401, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
FRANKLIN PARK, 132 SEAVER ST, Boston - N Dorchester, MA, 02121, 42.309675, -71.091228, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
FRANKLIN SQ HOUSE, 11 E NEWTON ST, Boston - South End, MA, 02118, 42.338616, -71.073325, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
FRIENDLY GARDEN CO-OP APT, 235 REVERE ST, Revere, MA, 02151, 42.417327, -71.000487, MA-7, Edward Markey (D), Edward Kennedy (D), John Kerry (D) 
GARDNER TERRACE I &amp; II, 46 PINE STREET, Attleboro, MA, 02703, 41.942273, -71.280894, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
GEN SHEPARD HSG, 25 THOMAS STREET, Westfield, MA, 01085, 42.122331, -72.747361, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
GENEVA APARTMENTS, 211 GENEVA AVE., Boston - N Dorchester, MA, 02121, 42.304619, -71.073842, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
GLEN GROVE, 50 GROVE ST, Wellesley, MA, 02482, 42.294451, -71.291433, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
GOSNOLD GROVE, 362 MAIN ST, Falmouth, MA, 02540, 41.552174, -70.612208, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
GRANITE:URBAN EDGE, 11 WALDREN ROAD, Boston - Roxbury, MA, 02119, 42.315606, -71.095334, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
GRANITE:WASH-COL II, 95B WASHINGTON PARK, Boston - Roxbury, MA, 02119, 42.310656, -71.092838, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
GRANT MANOR, 1812 WASHINGTON STREET, Boston - Lower Roxbury, MA, 02118, 42.335798, -71.077904, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
GREENHILL TOWERS, 27 MT VERNON ST, Worcester, MA, 01605, 42.276504, -71.789218, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
GROVE HALL APARTMENTS, 484 BLUE HILL AVE., Boston - Dorchester, MA, 02121, 42.307743, -71.083301, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
HADLEY WEST, 515 HADLEY WEST DR, Haverhill, MA, 01832, 42.773146, -71.110256, MA-5, Nicola Tsongas (D), Edward Kennedy (D), John Kerry (D) 
HANCOCK COURT, 25 SCHOOL ST, Quincy, MA, 02169, 42.244813, -71.001507, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
HANOVER LEGION ELDER APTS, 70 LEGION DR, Hanover, MA, 02339, 42.112605, -70.836286, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
HARBOR LOFT APTS, 7 LIBERTY SQ, Lynn, MA, 01901, 42.461736, -70.944865, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
HARBOR POINT, 320 MT VERNON ST, Boston - Dorchester, MA, 02125, 42.318372, -71.043819, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
HEMENWAY APTS, 491 HUNTINGTON AVENUE, Boston - Fenway, MA, 02115, 42.338081, -71.094850, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
HERITAGE GREEN, 629 MAIN ST, Sturbridge, MA, 01518, 42.113505, -72.121054, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
HERITAGE HOUSE, 32 LOW STREET, Newburyport, MA, 01950, 42.808438, -70.881492, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
HOPE GARDENS, 847 PARK STREET, Attleboro, MA, 02703, 41.929231, -71.260557, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
HOTEL RAYMOND, 35 DAY STREET, Fitchburg, MA, 01420, 42.582650, -71.794938, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
HOTEL WORTHY, 193 WORTHINGTON ST, Springfield, MA, 01103, 42.104208, -72.592360, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
INTERVALE-MAGNOL/BSTN BAY, 99 INTERVALE ST, Boston - Dorchester, MA, 02121, 42.310277, -71.077080, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
ISLAND CREEK EAST - I, 30 TREMONT ST, Duxbury, MA, 02332, 42.014061, -70.724846, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
JAMES STEAM MILL, 1 CHARLES ST, Newburyport, MA, 01950, 42.808291, -70.862831, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
JOSEPH&#039;S HOUSE, 279 DANIELS ST, Fitchburg, MA, 01420, 42.576446, -71.820723, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
KENMORE ABBEY, 490 COMMONWEALTH AVENUE, Boston - Kenmore, MA, 02215, 42.348796, -71.094539, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
KENT VILLAGE, 65 NORTH RIVER ROAD, Scituate, MA, 02066, 42.181205, -70.726539, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
KING VILLAGE APARTMENTS, 319 KEMPTON STREET, New Bedford, MA, 02740, 41.637312, -70.932738, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
KINGS BEACH TOWER, 130 EASTERN AVE, Lynn, MA, 01902, 42.471634, -70.926084, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
LAFAYETTE PLACE, 138 ST JOSEPH ST, Fall River, MA, 02723, 41.690443, -71.131424, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
LAMPLIGHTER VILL, 1 STAGECOACH ROAD, Canton, MA, 02021, 42.147300, -71.098640, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
LEISURE TOWER, 10 FARRAR STREET, Lynn, MA, 01902, 42.462367, -70.940370, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
LIBERTY PINES, 56 CREEK ST, Wrentham, MA, 02093, 42.061950, -71.336751, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
LINCOLN SCHOOL, 86 CENTRAL ST, Hingham, MA, 02043, 42.238511, -70.887767, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
LOGAN PARK, 193 GROVE ST, Braintree, MA, 02184, 42.192210, -70.992011, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
LONGFELLOW GLEN, 655 BOSTON POST ROAD, Sudbury, MA, 01776, 42.359423, -71.441894, MA-5, Nicola Tsongas (D), Edward Kennedy (D), John Kerry (D) 
MACHADO HOUSE @ PETER&#039;S, 11 LAKE ST, Hudson, MA, 01749, 42.395059, -71.568056, MA-5, Nicola Tsongas (D), Edward Kennedy (D), John Kerry (D) 
MAJESTIC APTS, 445 MERRIMACK ST, Lowell, MA, 01854, 42.646665, -71.315681, MA-5, Nicola Tsongas (D), Edward Kennedy (D), John Kerry (D) 
MAPLE COMMONS, 60 SCHOOL ST., Springfield, MA, 01105, 42.103806, -72.580976, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
MARBLE ST. APTS, 11 MARBLE ST, Worcester, MA, 01603, 42.247967, -71.826994, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
MARCUS GARVEY GDNS, 44 JOHN ELIOT SQUARE, Boston - Roxbury, MA, 02119, 42.329903, -71.091128, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
MARKET MILL, 246 MARKET ST, Lowell, MA, 01852, 42.644695, -71.313107, MA-5, Nicola Tsongas (D), Edward Kennedy (D), John Kerry (D) 
MARY COLBERT APARTMENTS, 20 DEVENS ST, Boston - Charlestown, MA, 02129, 42.373260, -71.063773, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
MASON PLACE, 80 MASON ST, Boston - Downtown, MA, 02111, 42.353612, -71.063647, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
MASS PIKE TOWERS, 336 TREMONT STREET, Boston - Chinatown, MA, 02116, 42.348692, -71.066740, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
MCKINLEY HOUSE, 38 ASINOF AVE, Chicopee, MA, 01013, 42.136626, -72.602757, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
MELVILLE TOWERS, 850 PLEASANT ST, New Bedford, MA, 02740, 41.639750, -70.926782, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
MERRIMACK VALLEY APTS, 20 CALUMET RD, Methuen, MA, 01844, 42.727266, -71.135787, MA-5, Nicola Tsongas (D), Edward Kennedy (D), John Kerry (D) 
MILL POND APARTMENTS, 50 MILL ROAD, Littleton, MA, 01460, 42.537770, -71.501343, MA-5, Nicola Tsongas (D), Edward Kennedy (D), John Kerry (D) 
MILL POND APTS (TAUNTON), 30 WASHINGTON ST, Taunton, MA, 02780, 41.903236, -71.098142, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
MILLHAUS AT UPTON, 134 MAIN STREET, Upton, MA, 01568, 42.170339, -71.623454, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
MISSION PARK, 835 HUNTINGTON AVE, Boston - Mission Hill, MA, 02115, 42.333250, -71.109562, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
MOHAWK FOREST, 201 MOHAWK FOREST BLVD, North Adams, MA, 01247, 42.693896, -73.090706, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
MT CARMEL APARTMENTS, 50 SHREWSBURY ST, Worcester, MA, 01604, 42.263112, -71.792656, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
MT PLEASANT APTS -BOSTON, 2 WAVERLY ST, Boston - Roxbury, MA, 02119, 42.321700, -71.081550, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
MT PLEASANT APTS-SOMERVL, 70 PERKINS ST, Somerville, MA, 02145, 42.384172, -71.079150, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
MTN VIEW TERRACE, 27 MOUNTAINVIEW DR, Stoneham, MA, 02180, 42.480858, -71.110745, MA-7, Edward Markey (D), Edward Kennedy (D), John Kerry (D) 
NEHOIDEN GLEN, 1035 CENTRAL AVE, Needham, MA, 02492, 42.285620, -71.252688, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
NEPTUNE TOWERS, 130 NEPTUNE BLVD, Lynn, MA, 01905, 42.459626, -70.957793, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
NEPTUNE TOWERS, 130 NEPTUNE BLVD, Lynn, MA, 01905, 42.459626, -70.957793, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
NEW PORT ANTONIO APTS., 8 IRWIN AVENUE, Boston - Roxbury, MA, 02119, 42.321269, -71.077967, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
NOONAN GLEN, 75 HEMINGWAY STREET, Winchester, MA, 01890, 42.461621, -71.145562, MA-7, Edward Markey (D), Edward Kennedy (D), John Kerry (D) 
NOR-AL, 339 TALBOT AVE, Boston - Dorchester, MA, 02124, 42.290295, -71.072291, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
NORFIELD/HOPE BAY, 5 NORWELL ST, Boston - N Dorchester, MA, 02121, 42.302085, -71.078009, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
NORTON GLEN, 1 NORTON GLEN RD, Norton, MA, 02766, 41.997813, -71.145680, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
NORWAY HOUSING, 78 PETERBOROUGH ST, Boston - Fenway, MA, 02215, 42.343195, -71.098340, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
OCEAN SHORES, 50 LYNNWAY, Lynn, MA, 01902, 42.457360, -70.939233, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
OLD MILL GLEN, 438 DAWN RD, Maynard, MA, 01754, 42.434739, -71.444558, MA-5, Nicola Tsongas (D), Edward Kennedy (D), John Kerry (D) 
OXFORD PLACE, 15 OXFORD ST, Boston - Chinatown, MA, 02111, 42.351975, -71.060500, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
