NAME, STREET, CITY, STATE, ZIP, LATITUDE, LONGITUDE, DISTRICT, REPRESENTATIVE, SENATOR 1, SENATOR 2 
113 SPENCER, 113 Spencer Ave, Chelsea, MA, 02150, 42.397260, -71.023966, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
116 COTTAGE STREET, 116 COTTAGE STREET, Lynn, MA, 01905, 42.462638, -70.973160, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
131-133 SARGEANT STREET, 131 SARGEANT ST, Holyoke, MA, 01040, 42.201067, -72.615335, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
1318 COMMONWEALTH AVE, 1318 COMMONWEALTH AV, Boston - Allston, MA, 02134, 42.348167, -71.134525, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
144 CHOATE STREET, 144 CHOATE STREET, Fall River, MA, 02723, 41.687690, -71.133109, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
144 WORCESTER ST, 144 WORCESTER ST, Boston - South End, MA, 02118, 42.341001, -71.079957, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
1550 BEACON PLAZA, 1550 BEACON STREET, Brookline, MA, 02446, 42.339846, -71.130778, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
159 BEACON HILL, 159 BEACON HILL AVE, Lynn, MA, 01902, 42.471741, -70.948392, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
198-208 CANAL STREET, 198 CANAL STREET, Fall River, MA, 02721, 41.699701, -71.162470, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
449 SARATOGA STREET, 449 SARATOGA STREET, Boston - East Boston, MA, 02128, 42.379551, -71.028086, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
556-562 CHESTNUT STREET, 557 CHESTNUT ST, Lynn, MA, 01904, 42.477936, -70.950616, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
706 HUNTINGTON AVE, 706 HUNTINGTON AVE, Boston - Mission Hill, MA, 02115, 42.334346, -71.103707, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
808 MEMORIAL DRIVE, 808 MEMORIAL DRIVE, Cambridge, MA, 02139, 42.360593, -71.115845, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
91 MINDEN STREET, 91 MINDEN STREET, Boston - Jamaica Plain, MA, 02130, 42.325248, -71.105328, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
929 HOUSE, 929 MASS AVE, Cambridge, MA, 02139, 42.368555, -71.109165, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
ACADEMY HILL SCHOOL, 4 WESTMINSTER ST, Nantucket, MA, 02554, 41.284509, -70.102627, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
AEI GROUP HOMES-BRAINTREE, 35 ANGELA ROAD, Braintree, MA, 02184, 42.181980, -70.983115, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
AEI GROUP HOMES-CENTERVIL, 8 DONEGAL CIRCLE, Barnstable, MA, 02632, 41.656704, -70.371882, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
AEI GROUP HOMES-KINGSTON, 159 INDIAN POND ROAD, Kingston, MA, 02364, 41.965732, -70.754120, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
AEI GROUP HOMES-MARSHFIEL, 455 HOLLY ROAD, Marshfield, MA, 02050, 42.124761, -70.705255, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
ALLERTON HOUSE, 43 SCHOOL HOUSE ROAD, Weymouth, MA, 02188, 42.218579, -70.952140, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
AMES PRIVILEGE, 1 SPRINGFIELD ST, Chicopee, MA, 01013, 42.121314, -72.605418, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
AMORY STREET RESIDENCES, 20 AMORY AVE, Boston - Roxbury, MA, 02119, 42.320494, -71.100111, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
AMY LOWELL HOUSE, 65 MARTHA ROAD APT., Boston - West End, MA, 02114, 42.365623, -71.065641, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
ANCHOR&#039;S WEIGH, 300 COMMANDANTS WAY, Chelsea, MA, 02150, 42.391109, -71.048272, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
ANCHORAGE APTS, 103 9TH ST, Boston - Charlestown, MA, 02129, 42.375109, -71.051249, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
ARBORPOINT @ WOODLAND STA, 1940 WASHINGTON STREET, Newton, MA, 02466, 42.333883, -71.244638, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
ARC FLINTLOCK LANE, 3 Flintlock Lane, Lakeville, MA, 02347, 41.824816, -70.979302, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
ARC HIXVILLE ROAD, 1199 Hixville Road, Dartmouth, MA, 02747, 41.684857, -71.032714, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
ARC LONG POINT ROAD, 11 Long Point Road, Lakeville, MA, 02347, 41.809150, -70.915008, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
