NAME, STREET, CITY, STATE, ZIP, LATITUDE, LONGITUDE, DISTRICT, REPRESENTATIVE, SENATOR 1, SENATOR 2 
ARC PEIRCE LANE, 2 Pierce Lane, Middleborough, MA, 02346, 41.898505, -70.908443, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
ARC WINFIELD STREET, 38 Winfield Street, Freetown, MA, 02717, 41.776034, -70.921042, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
ASHER&#039;S PATH, 1 Carleton Drive, Mashpee, MA, 02649, 41.629037, -70.472965, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
ASHMONT TOD, 1900 Dorchester Avenue, Boston - Dorchester, MA, 02124, 42.286033, -71.064213, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
AUBURN COURT, 80 AUBURN PARK, Cambridge, MA, 02139, 42.362276, -71.102893, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
AURORA HOTEL, 660 MAIN ST, Worcester, MA, 01610, 42.259569, -71.805861, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
AVALON AT BEDFORD CENTER, 1 DAVIS ROAD, Bedford, MA, 01730, 42.492908, -71.290608, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
AVALON AT CHESTNUT HILL, 160 BOYLSTON STREET, Newton, MA, 02467, 42.319938, -71.176530, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
AVALON AT CRANE BROOK, 1 CRANE BROOK WAY, Peabody, MA, 01960, 42.554563, -70.975712, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
AVALON AT FLANDERS HILL, 1 HOMESTEAD BLVD, Westborough, MA, 01581, 42.269906, -71.546261, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
AVALON AT LEXINGTON, 100 LEXINGTON RDG DR, Lexington, MA, 02421, 42.414518, -71.232283, MA-7, Edward Markey (D), Edward Kennedy (D), John Kerry (D) 
AVALON AT NEWTON HIGHLAND, 89-99 NEEDHAM STREET, Newton, MA, 02461, 42.314103, -71.211413, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
AVALON BLUE HILLS, 340 Canton Street, Randolph, MA, 02368, 42.184840, -71.085289, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
AVALON LEDGES, 1 AVALON DRIVE, Weymouth, MA, 02188, 42.248137, -70.975376, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
AVALON OAKS, 1 AVALON DRIVE, Wilmington, MA, 01887, 42.581176, -71.158016, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
AVALON OAKS WEST, 1 EVERGREEN DRIVE, Wilmington, MA, 01887, 42.576575, -71.181559, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
AVALON ORCHARDS, 81 BOSTON POST RD (RT 20), Marlborough, MA, 01752, 0.000000, 0.000000, , , ,  
BABCOCK TOWER, 270 BABCOCK STREET, Boston - Kenmore, MA, 02215, 42.352680, -71.121081, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BARNES SCHOOL ELDERLY, 127 MARION ST, Boston - East Boston, MA, 02128, 42.377223, -71.036641, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BEACON PARK, 1371 BEACON STREET, Brookline, MA, 02446, 42.341069, -71.123454, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
BEDFORD VILLAGE, 12 DUNSTER ROAD, Bedford, MA, 01730, 42.494590, -71.269918, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
BERKELEY PLACE, 41 BERKELEY ST, Lawrence, MA, 01841, 42.718198, -71.156885, MA-5, Nicola Tsongas (D), Edward Kennedy (D), John Kerry (D) 
BERTRAM HOUSE OF SWAMPSCT, 565 HUMPHREY ST., Swampscott, MA, 01907, 42.468039, -70.902586, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
BHP BRUNSWICK HOLBORN, 1 INTERVALE STREET, Boston - N Dorchester, MA, 02121, 42.312177, -71.082886, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BHP CODMAN SQUARE, 225 NORFOLK ST., Boston - Dorchester, MA, 02124, 42.285373, -71.080745, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BHP COLUMBIA WOOD, 200-204 COLUMBIA RD, Boston - N Dorchester, MA, 02121, 42.320550, -71.057090, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
BHP DIXWELL III/INFILL, 1989 COLUMBUS AVE., Boston - Roxbury, MA, 02119, 42.314843, -71.097545, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BHP FIELDS CORNER, 1 ARCADIA ST, Boston - Dorchester, MA, 02122, 42.302191, -71.060523, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BHP FRAWLEY-DELLE, 7 FRAWLEY ST, Boston - Mission Hill, MA, 02115, 42.332782, -71.107930, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BHP HANO STREET, 1 HANO STREET, Boston - Allston, MA, 02134, 42.356333, -71.137113, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BHP LENA PARK, 1310 BLUE HILL AVE., Boston - Mattapan, MA, 02126, 42.278975, -71.092895, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BHP WASHINGTON PARK, 392A WARREN ST, Boston - Roxbury, MA, 02119, 42.317582, -71.082152, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BHP WESTLAND AVE, 71 WESTLAND AVE, Boston - Fenway, MA, 02115, 42.343744, -71.088792, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BLOSSOM COURT APTS., 37 BLOSSOM ST, Fitchburg, MA, 01420, 42.583132, -71.796000, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
BLUE HILLS VILLAGE, 735 RANDOLPH ST, Canton, MA, 02021, 42.181351, -71.106309, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
BOOTT MILLS APARTMENTS, 100 FOOT OF JOHN STREET, Lowell, MA, 01852, 42.647611, -71.307600, MA-5, Nicola Tsongas (D), Edward Kennedy (D), John Kerry (D) 
BRAINTREE VILLAGE, 2 MCCUSKER DRIVE (OFFICE), Braintree, MA, 02184, 42.221418, -70.982575, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
BRAYTON HILL, 85 BARBOUR ST, North Adams, MA, 01247, 42.696460, -73.158948, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
BRIARCLIFF CONDO, 15 FLORENCE STREET, Franklin, MA, 02038, 42.060255, -71.381739, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
BRIGHTON GARDENS, 101 TREMONT ST, Boston - Brighton, MA, 02135, 42.351176, -71.173049, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BROADWAY TOWER, 250 BROADWAY, Revere, MA, 02151, 42.407349, -71.014016, MA-7, Edward Markey (D), Edward Kennedy (D), John Kerry (D) 
BROOKS SCHOOL, 5 PERTH STREET, Boston - Dorchester, MA, 02121, 42.313388, -71.076210, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BROOKSIDE ESTATES, 105 BROOKSIDE DR, Andover, MA, 01810, 42.687115, -71.195120, MA-5, Nicola Tsongas (D), Edward Kennedy (D), John Kerry (D) 
BROOKSIDE TERRACE, 11 VILLAGE DRIVE, Southbridge, MA, 01550, 42.065962, -72.008642, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
BROWN SCHOOL RESIDENCES, 200 LYNN STREET, Peabody, MA, 01960, 42.503573, -70.952092, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
BROWN-KAPLAN TOWNHOMES, 11 LORNE STREET, Boston - Dorchester, MA, 02124, 42.293524, -71.089968, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BROWNSTONE GARDENS, 75 PLEASANT ST, East Longmeadow, MA, 01028, 42.065107, -72.506981, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
BURBANK GARDENS, 31 BURBANK ST, Boston - Fenway, MA, 02115, 42.344489, -71.087764, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CABLE GARDENS, 100 COUNTY ROAD, Ipswich, MA, 01938, 42.673055, -70.836550, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
CABOT PARK VILLAGE, 22 MUNROE ST, Newton, MA, 02460, 42.352085, -71.198628, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
CAMBRIDGE COURT, 411 FRANKLIN ST, Cambridge, MA, 02139, 42.366727, -71.108949, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CANALSIDE, 7 SCOTCH PINE ROAD, Bourne, MA, 02532, 41.784320, -70.545177, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
CARTER HEIGHTS, 10 FORSYTH STREET, Chelsea, MA, 02150, 42.399068, -71.030654, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CASS HOUSE, 251-263 HAROLD ST, Boston - Dorchester, MA, 02121, 42.312224, -71.093240, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CEDAR MEADOWS, 784 TEATICKET HIGHWAY, Falmouth, MA, 02536, 41.575961, -70.580584, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
CEDARS, THE, 626 OLD WESTPORT RD, Dartmouth, MA, 02747, 41.624821, -71.033150, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
CENTERVILLE WOODS, 393 ESSEX ST, Beverly, MA, 01915, 42.572579, -70.856441, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
CENTRAL GRAMMAR, 10 DALE AVENUE, Gloucester, MA, 01930, 42.613539, -70.663045, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
CHANNING TERRACE, 26 CHANNING ST, Worcester, MA, 01605, 42.275873, -71.790283, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
CHAPMAN ARMS, 4 UNIVERSITY ROAD, Cambridge, MA, 02138, 42.373095, -71.123164, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CHAPMAN HOUSE, 61 EUTAW STREET, Boston - East Boston, MA, 02128, 42.379206, -71.037014, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CHARLYSADE APTS, 14 HANCOCK STREET, Boston - Beacon Hill, MA, 02114, 42.360623, -71.064267, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CHATHAM WEST I, 202 CHATHAM WEST DR, Brockton, MA, 02301, 42.102558, -71.052865, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
CHESTNUT PARK, 10 CHESTNUT ST, Springfield, MA, 01103, 42.102762, -72.585446, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
CHESTNUT PARK @ CLEVE CIR, 50 SUTHERLAND RD., Boston - Brighton, MA, 02135, 42.337990, -71.149932, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CHRISTIAN HILL, 27 CHRISTIAN HILL RD, Great Barrington, MA, 01230, 42.203629, -73.360824, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
CHRISTOPHER COLUMBUS PLZ, 145 COMMERCIAL ST, Boston - North End, MA, 02109, 42.362434, -71.051978, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CHRISTOPHER HTS - WEBSTER, 338 THOMPSON ROAD, Webster, MA, 01570, 42.029509, -71.851750, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
CHRISTOPHER HTS WORCESTER, 20 MARY SCANO DRIVE, Worcester, MA, 01605, 42.273984, -71.778807, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
CLEAVES COURT APTS, 5 CLEAVES ST, Boston - Roxbury, MA, 02119, 42.314077, -71.096852, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
COBBET HILL, 498 ESSEX ST APT 125, Lynn, MA, 01902, 42.466350, -70.947227, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
COE&#039;S POND VILLAGE, 39 1ST ST, Worcester, MA, 01602, 42.252977, -71.849916, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
COHEN FLORENCE LEVINE EST, 201 CAPTAINS ROW, Chelsea, MA, 02150, 42.391556, -71.046157, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
COL LOVELL&#039;S GATE, 148 COLONELS LN, Weymouth, MA, 02189, 42.198236, -70.919666, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
COLONIAL APTS, 19 CITY HALL AVE, Gardner, MA, 01440, 42.575084, -71.995666, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
COLONIAL VILLAGE, 107 BROAD ST, Weymouth, MA, 02188, 42.216626, -70.962008, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
COLUMBIA WEST APARTMENTS, 392 COLUMBIA RD, Boston - Dorchester, MA, 02125, 42.311698, -71.070104, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CONANT VILLAGE, 240 CONANT STREET, Danvers, MA, 01923, 42.573582, -70.906743, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
CONCORD HOUSES, 705 TREMONT ST, Boston - South End, MA, 02118, 42.341002, -71.077678, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CONWAY COURT, 1 CONWAY STREET, Boston - Roslindale, MA, 02131, 42.287852, -71.130223, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
COOLIDGE, THE, 319 Arlington Street, Watertown, MA, 02472, 42.373447, -71.156942, MA-7, Edward Markey (D), Edward Kennedy (D), John Kerry (D) 
COPLEY GARDENS, 105 MARKET ST, Rockland, MA, 02370, 42.121320, -70.915767, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
CORDOVAN @ HAVERHILL STA, 16 WALNUT STREET, Haverhill, MA, 01830, 42.775181, -71.082785, MA-5, Nicola Tsongas (D), Edward Kennedy (D), John Kerry (D) 
CRAIGVILLE COURT, 558 CRAIGVILLE BEACH RD, Barnstable, MA, 02632, 41.638929, -70.323204, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
CRANBERRY MANOR, 2220 CRANBERRY HGHWY, Wareham, MA, 02576, 41.800292, -70.769478, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
CRAWFORD HOUSE, 34 CRAWFORD ST, Boston - Dorchester, MA, 02121, 42.311223, -71.085484, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
DAVENPORT COMMONS, 700 COLUMBUS, Boston - Lower Roxbury, MA, 02120, 42.337935, -71.084775, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
DOUGLASS PARK, 650 COLUMBUS AVENUE, Boston - Lower Roxbury, MA, 02118, 42.338840, -71.083526, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
EAST BOSTON REHAB, 350 MERIDIAN STREET, Boston - East Boston, MA, 02128, 42.378605, -71.039219, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
EASTBROOK APTS, 259 FERNBANK RD, Springfield, MA, 01129, 42.138988, -72.486663, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
ELMWOOD TOWERS, 465 SOUTH ST, Holyoke, MA, 01040, 42.194736, -72.625233, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
EVANS PARK, 430 CENTRE ST., Newton, MA, 02458, 42.355643, -71.185369, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
EVERETT SQ PLAZA, 142 SCHOOL STREET, Everett, MA, 02149, 42.406276, -71.057289, MA-7, Edward Markey (D), Edward Kennedy (D), John Kerry (D) 
FORBES BLDG, 545 CENTRE STREET, Boston - Jamaica Plain, MA, 02130, 42.316453, -71.113782, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
FOUNDERS COURT APTS., 979 FALMOUTH RD., Barnstable, MA, 02601, 41.659809, -70.322500, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
FRANKLIN HILL PHASE 1B, 1 Shandon Road, Boston - Dorchester, MA, 02124, 42.295518, -71.091065, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
FRANKLIN HILL PHASE 2A, 1 SHANDON ROAD, Boston - Dorchester, MA, 02124, 42.295518, -71.091065, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
FRANKLIN HILL PHASE 2B, 1 SHANDON ROAD, Boston - Dorchester, MA, 02124, 42.295518, -71.091065, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
FRANKLIN SCHOOL, 7 STEDMAN ROAD, Lexington, MA, 02421, 42.428736, -71.229664, MA-7, Edward Markey (D), Edward Kennedy (D), John Kerry (D) 
FULTON ST APTS, 158 FULTON ST, Fall River, MA, 02720, 41.724046, -71.149800, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
GARDNER APTS, 270 ROXBURY, Boston - Roxbury, MA, 02119, 42.330231, -71.093947, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
GLEN MEADOW, 43 GLEN MEADOW RD, Franklin, MA, 02038, 42.081643, -71.382008, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
GLENDALE COURT, 740 BROADWAY, Everett, MA, 02149, 42.415684, -71.047744, MA-7, Edward Markey (D), Edward Kennedy (D), John Kerry (D) 
GREENFIELD ACRES, 10 CONGRESS ST, Greenfield, MA, 01301, 42.585822, -72.595593, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
HADLEY APARTMENTS, 653 MAIN STREET, Worcester, MA, 01610, 42.259233, -71.805137, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
HALEY HOUSE, 23 DARTMOUTH ST, Boston - South End, MA, 02116, 42.343719, -71.073949, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
HAMLET STREET, 37 HAMLET STREET, Newton, MA, 02459, 42.322939, -71.182954, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
HAMMOND STREET, 90 HAMMOND ST, Boston - Roxbury, MA, 02120, 42.336365, -71.083526, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
HAMPSHIRE PINE, 100 HAMPSHIRE ST., Holyoke, MA, 01040, 42.203178, -72.616479, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
HAMPTON COURT, 125 PLEASANT ST, Northampton, MA, 01060, 42.318200, -72.627797, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
HANOVER WOODS, 65 FRANKS LANE, Hanover, MA, 02339, 42.141232, -70.845057, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
HARTWELL TERRACE, 4 HARTWELL ST, Boston - Dorchester, MA, 02121, 42.309555, -71.083743, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
HASTINGS VILLAGE, 54 HASTINGS STREET, Wellesley, MA, 02481, 42.312786, -71.248961, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
HATHAWAY FARMS, 73 BARRETT ST, Northampton, MA, 01060, 42.333751, -72.640169, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
HAYNES HOUSE, 735 SHAWMUT AVE, Boston - Roxbury, MA, 02119, 42.332604, -71.083590, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
HAYWARD LANDING, 28 NORTH STREET, Douglas, MA, 01516, 42.075044, -71.710245, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
HEBRONVILLE MILL, 967 READ ST, Attleboro, MA, 02703, 41.904403, -71.325150, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
HERITAGE @ BEDFORD SPRING, 48 MIDDLESEX TPKE, Bedford, MA, 01730, 42.510031, -71.238174, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
HERITAGE @ DANVERS, 9 SUMMER STREET, Danvers, MA, 01923, 42.574283, -70.946584, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
HERITAGE COMMON, 45 CAMELLA TEOLI WAY, Lawrence, MA, 01841, 42.712231, -71.158265, MA-5, Nicola Tsongas (D), Edward Kennedy (D), John Kerry (D) 
HEYWOOD WAKEFIELD VILLAGE, 194 CENTRAL STREET, Gardner, MA, 01440, 42.577146, -71.992688, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
HIGH ROCK HOMES, 1 Linden Street, Needham, MA, 02492, 42.280148, -71.240488, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
HIGHLAND APTS, 1800 HIGHLAND AVE, Fall River, MA, 02720, 41.727836, -71.134087, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
HIGHLAND VILLAGE, 27 BOULDER DRIVE, Ware, MA, 01082, 42.268975, -72.235986, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
HILLCREST VILLAGE, 1101 HILLSIDE AVENUE, Attleboro, MA, 02703, 41.943071, -71.267321, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
HILLSIDE VILLAGE, 1 NORTH STREET, Ware, MA, 01082, 42.311866, -72.207838, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
HOLYOKE FARMS, 61 FARNUM DR, Holyoke, MA, 01040, 42.179710, -72.636417, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
HOLYOKE HILL, 360 1/2 TOKENEKE RD, Holyoke, MA, 01040, 42.178519, -72.635797, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
HOLYOKE TOWERS, 59 PLEASANT ST, Holyoke, MA, 01040, 42.225933, -72.621981, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
