NAME, STREET, CITY, STATE, ZIP, LATITUDE, LONGITUDE, DISTRICT, REPRESENTATIVE, SENATOR 1, SENATOR 2 
MASON PLACE, 80 MASON ST, BOSTON, MA, 02111, 42.353612, -71.063647, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
SOUTH COVE APARTMENTS, 230 STUART ST, BOSTON, MA, 02116, 42.350395, -71.069022, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
STEARNS THE, 10 TEMPLE PL, BOSTON, MA, 02111, 42.355496, -71.062518, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
VIVIENDAS LAVICTORIA II, 348 SHAWMUT AVE, BOSTON, MA, 02118, 42.341536, -71.071626, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
RESTORATION HOUSING/RHC, 52 FRANCIS ST, BOSTON, MA, 02115, 42.335610, -71.107484, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
MADISON PARK IV, 122 Dewitt Drive, BOSTON, MA, 02120, 42.332774, -71.084709, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
WESTLAND AVENUE APTS, 66 WESTLAND AVE, BOSTON, MA, 02115, 42.343537, -71.088925, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
SEABURY HEIGHTS, 240 BELMONT ST, WORCESTER, MA, 01604, 42.273101, -71.782736, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
HOTEL RAYMOND, 35 DAY ST, FITCHBURG, MA, 01420, 42.582650, -71.794938, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
WHITNEY-LORENTI HOUSE, 15 SUMMER ST, EVERETT, MA, 02149, 42.408607, -71.052765, MA-7, Edward Markey (D), Edward Kennedy (D), John Kerry (D) 
WHITTIER TERRACE, 29 OXFORD ST, WORCESTER, MA, 01609, 42.261825, -71.807914, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
MAPLE COMMONS, 60 SCHOOL ST, SPRINGFIELD, MA, 01105, 42.103806, -72.580976, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
MAPLE COMMONS, 60 SCHOOL ST, SPRINGFIELD, MA, 01105, 42.103806, -72.580976, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
CHELSEA SQUARE, 11 CROSS ST, CHELSEA, MA, 02150, 42.390087, -71.037954, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
MT PLEASANTS APTS, 2 WAVERLY ST, BOSTON, MA, 02119, 42.360879, -71.146068, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
ADAMS TEMPLETON ELD HSG, 445 ADAMS ST, BOSTON, MA, 02124, 42.294308, -71.056942, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
HIGHLAND HOUSE, 250 OAK GROVE AVE, SPRINGFIELD, MA, 01109, 42.119138, -72.562499, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
JAMAICA PLAIN APARTMENTS, 3294 WASHINGTON ST, BOSTON, MA, 02130, 42.310524, -71.103478, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
JAMAICA PLAIN APARTMENTS, 3294 WASHINGTON ST, BOSTON, MA, 02130, 42.310524, -71.103478, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BLUE HILL APARTMENTS, 1 BANCROFT ST, BOSTON, MA, 02119, 42.318136, -71.098551, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
SOUTH END APARTMENTS, 19 ST CYPRIANS PL, BOSTON, MA, 02120, 42.336404, -71.086825, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
MANDELA  HOMES, 10 Hammond Street, BOSTON, MA, 02120, 42.334639, -71.082121, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BCN PROPERTIES, 30 BOWER ST, BOSTON, MA, 02119, 42.320008, -71.087000, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CEYLON FIELDS, 288 Columbia Rd., BOSTON, MA, 02125, 42.309413, -71.073899, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BLUE MOUNTAIN, GRANITE #5, 62 ELM HILL AVE, BOSTON, MA, 02121, 42.310935, -71.086398, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BLUE HILL (GRANITE #3), 168 Seaver Street, BOSTON, MA, 02121, 42.308677, -71.089885, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BLUE HILL (GRANITE #3), 168 Seaver Street, BOSTON, MA, 02121, 42.308677, -71.089885, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BLUE HILL (GRANITE #3), 168 Seaver Street, BOSTON, MA, 02121, 42.308677, -71.089885, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
ELM HILL HOUSING, 116 ELM HILL AVE, BOSTON, MA, 02121, 42.308627, -71.087890, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
SOUTH END COOPERATIVE HSG, 163 West Springfield Street, BOSTON, MA, 02118, 42.339344, -71.078919, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CONWAY GARDENS, 10 NEWBURY ST, WORCESTER, MA, 01609, 42.263384, -71.811145, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
LENA PARK APARTMENTS, 4 ESMOND ST, BOSTON, MA, 02121, 42.299524, -71.086147, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
WASHINGTON COLUMBIA APTS, 143 COLUMBIA RD, BOSTON, MA, 02121, 42.305622, -71.078996, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
WALNUT/WASHINGTON APTS, 3224 Washington Street, BOSTON, MA, 02119, 42.312152, -71.101887, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
FIELDS CORNER/GRANITE #8, 60 CHARLES ST, BOSTON, MA, 02122, 42.382765, -71.070700, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
