NAME, STREET, CITY, STATE, ZIP, LATITUDE, LONGITUDE, DISTRICT, REPRESENTATIVE, SENATOR 1, SENATOR 2 
DORCHESTER BAY/GRANITE #9, 414 COLUMBIA RD, BOSTON, MA, 02125, 42.312181, -71.069484, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
QUINCY GENEVA, GRANITE #11B, 9 Creston ST, BOSTON, MA, 02121, 42.312285, -71.079713, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
NORTH CANAL APARTMENTS, 572 FATHER MORISSETTE BLVD, LOWELL, MA, 01854, 42.650781, -71.320601, MA-5, Nicola Tsongas (D), Edward Kennedy (D), John Kerry (D) 
VETERANS BENEFITS CLEARINGHOUSE, 495 BLUE HILL AVE, BOSTON, MA, 02121, 42.308182, -71.083740, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
VETERANS BENEFITS CLEARINGHOUSE, 495 BLUE HILL AVE, BOSTON, MA, 02121, 42.308182, -71.083740, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
WARDMAN TRUST, 3 WARDMAN RD, BOSTON, MA, 02119, 42.315599, -71.094512, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
NEW PORT ANTONIO APTS, 8 IRWIN AVE, BOSTON, MA, 02119, 42.321269, -71.077967, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
GRANT MANOR, 1812 WASHINGTON ST, BOSTON, MA, 02120, 42.335798, -71.077904, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
HARBOR POINT, 320 MOUNT VERNON ST, BOSTON, MA, 02122, 42.318372, -71.043819, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
HARBOR POINT, 320 MOUNT VERNON ST, BOSTON, MA, 02122, 42.318372, -71.043819, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
FRANKLIN PARK, 20 BOWDOIN AVE, BOSTON, MA, 02121, 42.302734, -71.075615, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
SYMPHONY PLAZA WEST, 333 MASSACHUSETTS AVE, BOSTON, MA, 02115, 42.342832, -71.085041, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
SYMPHONY PLAZA EAST, 334 MASSACHUSETTS AVE, BOSTON, MA, 02115, 42.342831, -71.085039, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BERGEN CIRCLE, 15 GIRARD AVE, SPRINGFIELD, MA, 01109, 42.117130, -72.565649, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
MISSION PARK, 835 HUNTINGTON AVE, BOSTON, MA, 02115, 42.333250, -71.109562, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
COTTAGE BROOK, 11 WEST COTTAGE ST, BOSTON, MA, 02125, 42.321212, -71.073147, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
WOODLEDGE, 15 MASCOMA ST, BOSTON, MA, 02121, 42.312072, -71.075108, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
INTERVALE-MAGNOLIA, 205 MAGNOLIA ST, BOSTON, MA, 02121, 42.311487, -71.073961, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
HOPE  BAY  APARTMENTS, 25 NORWELL ST, BOSTON, MA, 02121, 42.301740, -71.078718, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
HOPE  BAY  APARTMENTS, 25 NORWELL ST, BOSTON, MA, 02121, 42.301740, -71.078718, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
TAB I, 713 DUDLEY STREET, BOSTON, MA, 02125, 42.318023, -71.067939, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
LAFAYETTE PLACE, 20 LAFAYETTE DR, FALL RIVER, MA, 02723, 41.690894, -71.132340, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
SOUTH END TENANTS HOUSES II, 139 PEMBROKE ST, BOSTON, MA, 02118, 42.343342, -71.077226, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
COUNTRYSIDE VILLAGE, 450-460 BOSTON POST RD, MARLBOROUGH, MA, 01752, 42.347458, -71.511676, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
POND VIEW APARTMENTS, 560 CENTRE STREET, BOSTON, MA, 02130, 42.316399, -71.113825, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
UPLAND GARDENS, 7 Upland Gardens Drive, WORCESTER, MA, 01607, 42.222161, -71.803912, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
BAY VILLAGE APARTMENTS, 2000 BAY ST, FALL RIVER, MA, 02724, 41.676311, -71.191463, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
OLDE ENGLISH VILLAGE, 152  MANCA DR, GARDNER, MA, 01440, 42.559336, -71.997880, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
Davis Commons, 165 CARL AVE, BROCKTON, MA, 02302, 42.060288, -70.997789, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
PLUMLEY VILLAGE EAST, 16 LAUREL ST, WORCESTER, MA, 01608, 42.270040, -71.795556, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
PLUMLEY VILLAGE EAST, 16 LAUREL ST, WORCESTER, MA, 01608, 42.270040, -71.795556, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
LEYDEN WOODS APARTMENTS, 24 ASTER COURT, GREENFIELD, MA, 01301, 42.619296, -72.614389, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
WARREN AVE APTS, 25  Warren  Avenue, BOSTON, MA, 02116, 42.253126, -71.117538, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
MASS PIKE TOWERS, 360 TREMONT ST, BOSTON, MA, 02116, 42.348625, -71.066866, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CHAUNCY HOUSE, 115 Chauncy ST, BOSTON, MA, 02111, 42.352726, -71.061237, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BAY VILLAGE APARTMENTS, 2000 BAY ST, FALL RIVER, MA, 02724, 41.676311, -71.191463, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
Davis Commons, 165 CARL AVE, BROCKTON, MA, 02302, 42.060288, -70.997789, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
PLUMLEY VILLAGE EAST, 16 LAUREL ST, WORCESTER, MA, 01608, 42.270040, -71.795556, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
PLUMLEY VILLAGE EAST, 16 LAUREL ST, WORCESTER, MA, 01608, 42.270040, -71.795556, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
VIVIENDAS ASSOCIATES, 50 W DEDHAM ST, BOSTON, MA, 02118, 42.341313, -71.072097, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
PYNCHON TERRACE I, 202 PLAINFIELD ST, SPRINGFIELD, MA, 01107, 42.112780, -72.610063, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
EDGEWATER APTS, 101 LOWELL ST, SPRINGFIELD, MA, 01107, 42.112035, -72.612320, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
WALDEN SQUARE APTS, 21 WALDEN SQUARE RD, CAMBRIDGE, MA, 02140, 42.389472, -71.129549, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
COUNTRYSIDE VILLAGE, 450-460 BOSTON POST RD, MARLBOROUGH, MA, 01752, 42.347458, -71.511676, MA-3, James McGovern (D), Edward Kennedy (D), John Kerry (D) 
POND VIEW APARTMENTS, 560 CENTRE STREET, BOSTON, MA, 02130, 42.316399, -71.113825, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
ST JAMES MANOR, 744 ST JAMES AVE, SPRINGFIELD, MA, 01104, 42.128701, -72.566949, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
MAJESTIC APTS, 445 MERRIMACK ST, LOWELL, MA, 01854, 42.646665, -71.315681, MA-5, Nicola Tsongas (D), Edward Kennedy (D), John Kerry (D) 
BROADWAY GLEN, 855 BROADWAY, CHELSEA, MA, 02150, 42.398339, -71.023701, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
SARGEANT WEST APTS, 137 SARGEANT ST, HOLYOKE, MA, 01040, 42.201231, -72.615633, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
WAYNE APTS, 2 ELM HILL PARK, BOSTON, MA, 02121, 42.312965, -71.083055, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CASTLE SQUARE, 484 Tremont St, BOSTON, MA, 02116, 42.345577, -71.069673, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CAPITOL SQUARE APTS, 31 BRADFORD ST, PITTSFIELD, MA, 01201, 42.454203, -73.252993, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
CASTLE SQUARE, 484 Tremont St, BOSTON, MA, 02116, 42.345577, -71.069673, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
RIVERVIEW HOMES, 341 WEST ST, PITTSFIELD, MA, 01201, 42.448384, -73.264225, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
RICHARD&#039;S APARTMENTS, 52 HARTLEY ST, WEBSTER, MA, 01570, 42.062222, -71.868117, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
JOY ST RESIDENCE/FANUEIL HIV, 56 JOY ST, BOSTON, MA, 02114, 42.360428, -71.065242, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
WARREN HOUSE, 17 WARREN AVE, WOBURN, MA, 01801, 42.476586, -71.154519, MA-7, Edward Markey (D), Edward Kennedy (D), John Kerry (D) 
ROBERT L FORTES HOUSE, 541 SHAWMUT AVE, BOSTON, MA, 02118, 42.337183, -71.078609, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
HIGHLAND HOUSE, 250 OAK GROVE AVE, SPRINGFIELD, MA, 01109, 42.119138, -72.562499, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
Leisure Tower, 10 Farrar St, Lynn, MA, 01902, 42.462367, -70.940370, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
Leisure Tower, 10 Farrar St, Lynn, MA, 01902, 42.462367, -70.940370, MA-6, John Tierney (D), Edward Kennedy (D), John Kerry (D) 
MOHAWK FOREST, 201 Mohawk Forest Blvd, NORTH ADAMS, MA, 01247, 42.693896, -73.090706, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
MOHAWK FOREST, 201 Mohawk Forest Blvd, NORTH ADAMS, MA, 01247, 42.693896, -73.090706, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
MOHAWK FOREST, 201 Mohawk Forest Blvd, NORTH ADAMS, MA, 01247, 42.693896, -73.090706, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
ACADEMY HOMES (BUSE), 10 WEAVER WAY, BOSTON, MA, 02119, 42.320695, -71.096820, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
TALBOT BERNARD SNR HSG, 193 Talbot Avenue, BOSTON, MA, 02222, 42.292064, -71.078815, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
, , , , , 0.000000, 0.000000, , , ,  
