NAME, STREET, CITY, STATE, ZIP, LATITUDE, LONGITUDE, DISTRICT, REPRESENTATIVE, SENATOR 1, SENATOR 2 
SUPERIOR STAR RIDGE (ACMAR LANDFILL), 3301 ACMAR ROAD, MOODY, AL, 35004, 33.608078, -86.509500, AL-6, Spencer Bachus (R), Jefferson Sessions (R), Richard Shelby (R) 
SUPERIOR METAL MANUFACTURING INC, 65 RIVER STREET, JAMESTOWN, NY, 14701, 42.101057, -79.225576, NY-27, Brian Higgins (D), Kirsten Gillibrand (D), Charles Schumer (D) 
SUPERIOR SEALANTS, 1135-9 SYLVAN RD SW, ATLANTA, GA, 30310, 33.724090, -84.418810, GA-5, John Lewis (D), C. Saxby Chambliss (R), John Isakson (R) 
SUPERIOR SOLVENTS &amp; CHEMICALS INC, 60 CHOUTEAU AVE, ST LOUIS, MO, 63102, 38.615090, -90.188728, MO-3, John Russell Carnahan (D), Christopher Bond (R), Claire McCaskill (D) 
SUPERIOR COATING INC, 7330 C F HAWN FREWAY, DALLAS, TX, 75217, 32.721863, -96.695750, TX-30, Eddie Bernice Johnson (D), John Cornyn (R), Kay Hutchison (R) 
UNKNOWN FOUNDRY (SUPERIOR CASTINGS), 1000 EAST 14TH, DEWEY, OK, 74029, 36.806050, -95.930710, OK-1, John Sullivan (R), Thomas Allen Coburn (R), James Inhofe (R) 
SUPERIOR WASTE ROCK, JUNCTION OF FLAT CREEK ROAD, SUPERIOR, MT, 59872, 0.000000, 0.000000, , , ,  
MCMINN STATE SUPERFUND SITE, SEBASTOPOL ROAD / WEST AVENUE, SANTA ROSA, CA, 95407, 38.429312, -122.730795, CA-6, Lynn Woolsey (D), Barbara Boxer (D), Dianne Feinstein (D) 
RAY&#039;S SUPERIOR FOOD MARKET, US HIGHWAY 25, NORTH, JELLICO, KY, 40701, 36.578724, -84.110165, TN-4, Lincoln Davis (D), Lamar Alexander (R), Bob Corker (R) 
METOKOTE CORP PLANT 4 AKA SHELLER GLOBE, 1200 E KIBBY ST, LIMA, OH, 45801, 40.730553, -84.085659, OH-4, James Jordan (R), Sherrod Brown (D), George Voinovich (R) 
, , , , , 0.000000, 0.000000, , , ,  
