NAME, STREET, CITY, STATE, ZIP, LATITUDE, LONGITUDE, DISTRICT, REPRESENTATIVE, SENATOR 1, SENATOR 2 
Brescia&#039;s pizza , 315 Centre Street, Jamaica Plain, MA, , 42.323217, -71.103852, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
Cappy&#039;s , 304 Centre St, Jamaica Plain, MA, , 42.322711, -71.103405, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
Captain Nemo&#039;s, 367 Centre St, Jamaica Plain, MA, , 42.322376, -71.108500, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
Felix Pizzeria, 142 South Street, Jamaica Plain, MA, , 42.305341, -71.114452, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
Joseph&#039;s , 8 S Huntington Ave, Jamaica Plain, MA, , 42.331755, -71.111739, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
My Big Fat Greek Pizza, 10 Walk Hill St, Jamaica Plain, MA, , 42.295858, -71.115774, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
Siomis Place, 3492 Washington St, Jamaica Plain, MA, , 42.306279, -71.107432, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
, , , , , 0.000000, 0.000000, , , ,  
